user_id,book_id,book_title,rating
Jonathan Ashleigh,41817486,A Clockwork Orange,5
Mark Lawrence,41817486,A Clockwork Orange,5
Jon Nakapalau,41817486,A Clockwork Orange,5
MJ Nicholls,41817486,A Clockwork Orange,5
Steven Godin,41817486,A Clockwork Orange,5
Emily May,5043,The Pillars of the Earth,4
Jeffrey Keeten,5043,The Pillars of the Earth,4
Sean Barrs,5043,The Pillars of the Earth,5
Chelsea Humphrey,5043,The Pillars of the Earth,5
Steven Medina,5043,The Pillars of the Earth,5
Valeriu Gherghel,5043,The Pillars of the Earth,2
David Putnam,5043,The Pillars of the Earth,5
Paul Weiss,5043,The Pillars of the Earth,5
Luffy Sempai,5043,The Pillars of the Earth,4
Jason Koivu,5043,The Pillars of the Earth,4
Jeffrey Keeten,17899948,Rebecca,5
Nilufer Ozmekik,17899948,Rebecca,5
Lisa of Troy,17899948,Rebecca,5
Bill Kerwin,17899948,Rebecca,5
Emily May,17899948,Rebecca,5
Elyse Walters,17899948,Rebecca,5
Bionic Jean,17899948,Rebecca,5
Kimber Silver,17899948,Rebecca,5
Vit Babenco,17899948,Rebecca,5
Sean Barrs,76620,Watership Down,5
Mark Lawrence,76620,Watership Down,5
Rico Suave,76620,Watership Down,5
Lisa of Troy,76620,Watership Down,3
Bionic Jean,76620,Watership Down,5
Maggie Stiefvater,76620,Watership Down,5
Jeffrey Keeten,76620,Watership Down,4
Mario the lone bookwolf,76620,Watership Down,4
Justin Tate,76620,Watership Down,2
Jason Koivu,76620,Watership Down,5
Kimber Silver,76620,Watership Down,5
Educating Drew,52892857,The Color Purple,5
Michael Finocchiaro,52892857,The Color Purple,5
Lisa of Troy,52892857,The Color Purple,5
Magrat Ajostiernos,52892857,The Color Purple,5
Kai Spellmeier,52892857,The Color Purple,5
Repellent Boy,52892857,The Color Purple,5
Em Lost In Books,52892857,The Color Purple,4
Maria Espadinha,52892857,The Color Purple,5
Emily May,2623,Great Expectations,5
Michael Kneeland,2623,Great Expectations,5
Jeffrey Keeten,2623,Great Expectations,5
Sean Barrs,2623,Great Expectations,5
Mario the lone bookwolf,2623,Great Expectations,3
Kimber Silver,2623,Great Expectations,5
Kai Spellmeier,2623,Great Expectations,2
Bionic Jean,2623,Great Expectations,5
Henry Avila,2623,Great Expectations,4
Glenn Sumi,2623,Great Expectations,5
Colin Baldwin,2623,Great Expectations,4
Always Pouting,2623,Great Expectations,3
Deborah Markus,10964,Outlander,1
Emily May,10964,Outlander,4
Kai Spellmeier,10964,Outlander,1
Sasha Alsberg,10964,Outlander,5
Sasha Alsberg,10964,Outlander,5
Kat Kennedy,10964,Outlander,4
Aestas Book Blog,10964,Outlander,5
Chelsea Humphrey,10964,Outlander,4
jessica yeung,10964,Outlander,5
Danielle The Book Huntress,10964,Outlander,5
Amanda Turner,9293020,The Elephant Tree,5
Kathy Tweedle,9293020,The Elephant Tree,5
Martin Sharp,9293020,The Elephant Tree,5
Julie Barrett,9293020,The Elephant Tree,5
Sophie Goodeve,9293020,The Elephant Tree,4
George King,9293020,The Elephant Tree,5
Debbie Marsh,9293020,The Elephant Tree,5
Thor and Sanz,9293020,The Elephant Tree,5
Cat on the Mat,9293020,The Elephant Tree,5
Rosemarie Dibden,9293020,The Elephant Tree,5
James Robbins,9293020,The Elephant Tree,2
Jeffrey Keeten,15823480,Anna Karenina,5
Emily May,15823480,Anna Karenina,5
jessica yeung,15823480,Anna Karenina,5
Petra X,15823480,Anna Karenina,5
Carolyn Marie,15823480,Anna Karenina,5
Shawn McComb,15823480,Anna Karenina,4
Kevin Ansbro,15823480,Anna Karenina,5
Lisa of Troy,15823480,Anna Karenina,4
Taufiq Yves,15823480,Anna Karenina,5
Dave Schaafsma,15823480,Anna Karenina,5
Kimber Silver,15823480,Anna Karenina,5
Georgia Scott,15823480,Anna Karenina,5
Roy Lotz,15823480,Anna Karenina,5
Sean Barrs,61215351,The Fellowship of the Ring,5
Federico DN,61215351,The Fellowship of the Ring,4
